2023-06-13		11:35:44	bc50eb35-8f2e-4967-b59e-6f5563b61b29	 GET	http://localhost:5173	/notes 
2023-06-13		11:35:57	22f22aac-b843-42c0-8c38-e73e01f3254d	 POST	http://localhost:5173	/auth/logout 
2023-06-13		11:36:02	a642bcc0-31c4-4831-b7be-02e57dc05952	 POST	http://localhost:5173	/auth 
2023-06-13		11:36:02	ad38b71a-ed1a-4790-8da9-561f2398d17c	 GET	http://localhost:5173	/notes 
2023-06-13		11:36:02	ef0cc5e1-92bf-4c62-b72b-4e18874d1557	 GET	http://localhost:5173	/users 
2023-06-13		11:36:14	358187e7-206d-44a7-b20a-f3065db02c11	 GET	http://localhost:5173	/notes 
2023-06-13		11:36:22	fdc81ac0-3571-4240-a962-d8637224c029	 GET	http://localhost:5173	/notes 
2023-06-13		11:36:22	c1ac1612-209c-4de5-80de-86447a4f247a	 GET	http://localhost:5173	/users 
2023-06-13		11:36:23	2433ffc9-be01-4a0e-a6ae-58f8e6aa18f0	 GET	http://localhost:5173	/notes 
2023-06-13		11:36:45	98f8ad41-221b-498f-8861-074f32f64e45	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:00	d675dbf4-4f4b-433f-9e80-7855a3b644ed	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:01	eebce116-f3ba-44c6-b2d2-8c39cad2c99d	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:01	a41b1269-29e9-4bd3-be82-16015c9d337c	 GET	http://localhost:5173	/users 
2023-06-13		11:37:02	e5e58713-f715-4a14-b1d0-5c55b8040acf	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:17	d97f6bec-77b2-4fe7-968c-3d69cbb9ad1a	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:33	71ccc74c-1365-4d00-936b-29f16708bc80	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:49	84f323df-abd7-4d0e-916d-1c7325d8dfc5	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:59	49617c0f-70d7-4cee-b82f-98284ad461e9	 GET	http://localhost:5173	/notes 
2023-06-13		11:37:59	eb433e6c-3334-4001-bfcb-3a03e1dc260f	 GET	http://localhost:5173	/users 
2023-06-13		11:38:01	517822b8-f1a1-4058-9faa-3fb252fb2b20	 GET	http://localhost:5173	/notes 
2023-06-13		11:38:16	f3178426-e14f-4331-9592-0a484add730c	 GET	http://localhost:5173	/notes 
2023-06-13		11:38:31	c4938cde-53e1-40bc-87cd-4124600dfe53	 GET	http://localhost:5173	/notes 
2023-06-13		11:38:49	36e2f444-3e3f-4814-a096-b58d3be7e2cd	 GET	http://localhost:5173	/notes 
2023-06-13		11:39:05	0f3fdda4-d698-4720-ad8f-dc715e0c4b94	 GET	http://localhost:5173	/notes 
2023-06-13		11:39:39	a9ffeada-e624-43f1-9106-e3fd5c8091fa	 GET	http://localhost:5173	/notes 
2023-06-13		11:39:56	3aecdf25-7ba6-4bbf-a57a-fca8e0a0c810	 GET	http://localhost:5173	/notes 
2023-06-13		11:40:19	54ea0a2a-c2e3-4919-9f78-980edfe0ab81	 GET	http://localhost:5173	/notes 
2023-06-13		11:40:41	af048be9-c272-4678-bf44-193497cb02bc	 GET	http://localhost:5173	/notes 
2023-06-13		11:41:05	24298758-0200-4c20-a5bd-e6d17ba80808	 GET	http://localhost:5173	/notes 
2023-06-13		11:41:24	7ea0378b-19af-49bc-865a-15e1a972e2a5	 GET	http://localhost:5173	/notes 
2023-06-13		11:41:32	b0f4050e-129e-425c-9bc5-b72008707b75	 GET	http://localhost:5173	/notes 
2023-06-13		11:50:31	b97d9ce4-4824-4dc8-95a9-da6ab129ffb7	 GET	http://localhost:5173	/notes 
2023-06-13		11:50:31	7b8ebc9f-5187-4e42-aa3e-0aa0cbfe4b88	 GET	http://localhost:5173	/users 
2023-06-13		14:14:34	c07aa546-233b-4288-9f67-991a3ba42720	 POST	http://localhost:5173	/auth 
2023-06-13		14:14:40	3f38af7a-a75d-4d8b-9cb5-9bbf6b6e2bdb	 GET	http://localhost:5173	/notes 
2023-06-13		14:14:40	94a709b8-535c-4c07-a60a-8d73f13b57fb	 GET	http://localhost:5173	/users 
2023-06-13		14:21:28	1dcc2c76-def0-48b3-8ee9-25ccc76ce37b	 GET	http://localhost:5173	/notes 
2023-06-13		14:21:28	34202da9-0d37-4c78-b079-e69078cc1dc8	 GET	http://localhost:5173	/users 
2023-06-13		14:22:01	583839e6-f961-4e1e-8e1d-73b396dd5e61	 POST	http://localhost:5173	/auth/logout 
2023-06-13		14:59:09	a8ee1093-1d93-4a4a-a29d-e2e86a9430cd	 POST	http://localhost:5173	/auth 
2023-06-13		14:59:11	dcd50ae5-4355-44c7-9b69-5fa9310b8fca	 GET	http://localhost:5173	/notes 
2023-06-13		14:59:11	10b5fd88-14ad-44fa-8dac-e9bc00e8543a	 GET	http://localhost:5173	/users 
2023-06-13		14:59:28	cec0248e-41c9-4b56-bae9-6b44cc30db70	 GET	http://localhost:5173	/users 
2023-06-13		14:59:28	90f056b1-399f-49ff-b1a6-974f8392da5d	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		14:59:35	0242a33e-d122-4c73-8f56-6f2f503b2bfd	 POST	http://localhost:5173	/auth/logout 
2023-06-13		15:14:07	09435dfa-484e-45a1-b978-808b655f2516	 POST	http://localhost:5173	/auth 
2023-06-13		15:14:09	46f49865-4995-42f7-97ba-3d713c4facac	 GET	http://localhost:5173	/notes 
2023-06-13		15:14:09	ed9d6fe7-b13e-4dd0-bc70-02c2a63a4e3e	 GET	http://localhost:5173	/users 
2023-06-13		15:18:29	e6da311e-34eb-45ef-960f-2dbc415e983c	 POST	http://localhost:5173	/auth/logout 
2023-06-13		15:19:02	d93d8037-6e78-433d-a780-3b5bf43ff354	 POST	http://localhost:5173	/auth 
2023-06-13		15:19:02	f06e5e15-fb64-4f20-ae40-bce1ccba3f81	 GET	http://localhost:5173	/notes 
2023-06-13		15:19:02	c4394ba2-57f6-496d-acfd-d3b8b0644efc	 GET	http://localhost:5173	/users 
2023-06-13		15:19:40	4571eaba-618d-4da1-b081-cd97180a5d25	 POST	http://localhost:5173	/auth/logout 
2023-06-13		15:19:45	a04d0aa2-f921-475b-9fc8-d6cb70ba4688	 POST	http://localhost:5173	/auth 
2023-06-13		15:19:46	b7b165a7-554c-4591-a5a4-a570d2f5e156	 GET	http://localhost:5173	/notes 
2023-06-13		15:19:46	6298d5ad-6081-4851-b1ca-6c20ef11bcef	 GET	http://localhost:5173	/users 
2023-06-13		15:19:47	6fa4c54a-dd0c-4989-85ee-8465f24f2b5d	 GET	http://localhost:5173	/notes 
2023-06-13		15:19:56	b09b462b-0cf9-4083-8f4a-b1ddf9075c30	 GET	http://localhost:5173	/users 
2023-06-13		15:22:13	6c65556b-1250-481d-8496-5a75ab161b3c	 GET	http://localhost:5173	/users 
2023-06-13		15:22:22	644f5c1e-c213-4b34-826b-55f5b3dd2c34	 GET	http://localhost:5173	/users 
2023-06-13		15:23:23	5face1d6-ea4d-4852-abb3-86ef85e3d013	 GET	http://localhost:5173	/users 
2023-06-13		15:24:23	39311e49-96a0-49bc-a682-2c09d64f7dd3	 GET	http://localhost:5173	/users 
2023-06-13		15:24:39	9e08439d-808b-4fa7-bf24-124431911172	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		15:25:09	3d9ee939-47b9-4bce-9d1e-29dae54af956	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		15:25:15	aac6825d-851b-4363-aa47-f2834ae61bf6	 POST	http://localhost:5173	/auth 
2023-06-13		15:25:15	476b9b31-326d-44d2-9219-8d0f7ceb38d0	 GET	http://localhost:5173	/notes 
2023-06-13		15:25:15	3f821b44-54e5-4258-b135-bfccbf268c5f	 GET	http://localhost:5173	/users 
2023-06-13		15:25:22	9f86a6d1-b10f-4609-ab57-e7a4c6c0b38c	 GET	http://localhost:5173	/users 
2023-06-13		15:25:25	9f709184-0047-4551-b77f-0c2efd1dc4fe	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		15:25:36	3937857d-54a3-4a8c-9db2-cd7472269d1a	 POST	http://localhost:5173	/auth 
2023-06-13		15:25:36	1e1d6ad4-486b-4943-a733-8eec5c2c5511	 GET	http://localhost:5173	/notes 
2023-06-13		15:25:36	b5d5502c-75e2-4d96-ab6c-774ff4dc3180	 GET	http://localhost:5173	/users 
2023-06-13		15:35:20	4c86b3b7-d26f-4274-a931-5553c5d4cb4f	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		15:35:27	07da7c49-a810-45c1-9aea-d2c0f9b1f85e	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		15:35:45	9ffd0065-686a-405b-b13e-c8c33f1077a9	 POST	http://localhost:5173	/auth 
2023-06-13		15:35:47	3f4928ff-a071-4f39-aa12-c690a46217e0	 GET	http://localhost:5173	/notes 
2023-06-13		15:35:47	5fad9ee3-e7fa-4360-a0bc-b2f1f2117349	 GET	http://localhost:5173	/users 
2023-06-13		15:35:52	58817f52-1aff-49e0-8757-95f940166f54	 GET	http://localhost:5173	/users 
2023-06-13		15:55:30	d746ead1-73e3-4fe8-817d-f83703214fe1	 GET	http://localhost:5173	/auth/refresh 
2023-06-14		09:43:24	84900de1-3f0f-42e3-9f7f-0c4a3b22547f	 POST	http://localhost:5173	/auth 
2023-06-14		09:43:24	e46584fe-acab-467f-89f8-dd9e58469ee2	 GET	http://localhost:5173	/notes 
2023-06-14		09:43:24	d65981ba-5e47-4c2e-b105-4c76a45946ef	 GET	http://localhost:5173	/users 
2023-06-14		09:43:45	6abb5fc0-fa20-45fa-a767-f872d1ed5b09	 GET	http://localhost:5173	/users 
2023-06-14		09:45:57	984a565d-e7b9-476f-83dd-369f2a334c44	 POST	http://localhost:5173	/auth 
2023-06-14		09:45:58	2d9d1caf-d003-4ecb-b909-23b6249d3986	 GET	http://localhost:5173	/notes 
2023-06-14		09:45:58	a1d00785-52da-4ca0-bd31-f39370d1d1f2	 GET	http://localhost:5173	/users 
